rxn_id	enz	binding targets	products	biocyc_id
R_R1_0	R1_ENZ	G6P	R1_ENZ+G6P	D-glucopyranose-6-phosphate
R_R1_i0	R1_ENZ	PEP	R1_ENZ+PEP_ci	PHOSPHO-ENOL-PYRUVATE
R_R1_i1	R1_ENZ	6PG	R1_ENZ+6PG_ci	CPD-2961
R_R2_0	R2_ENZ	F6P	R2_ENZ+F6P	FRUCTOSE-6P
R_R3_0	R3_ENZ	FBP	R3_ENZ+FBP	FRUCTOSE-16-DIPHOSPHATE
R_R3_i0	R3_ENZ	DHAP	R3_ENZ+DHAP_ci	DIHYDROXY-ACETONE-PHOSPHATE
R_R4_0	R4_ENZ	DHAP	R4_ENZ+DHAP	DIHYDROXY-ACETONE-PHOSPHATE
R_R5_0	R5_ENZ	GAP	R5_ENZ+GAP	GAP
R_R6_0	R6_ENZ	3PG	R6_ENZ+3PG	G3P
R_R7_0	R7_ENZ	PEP	R7_ENZ+PEP	PHOSPHO-ENOL-PYRUVATE
R_R7_i0	R7_ENZ	ATP	R7_ENZ+ATP_ci	ATP
R_R7_i2	R7_ENZ	SucCoA	R7_ENZ+SucCoA_ci	SUC-COA
R_R8_0	R8_ENZ	G6P	R8_ENZ+G6P	D-glucopyranose-6-phosphate
R_R8_i0	R8_ENZ	NADH	R8_ENZ+NADH_ci	NADH
R_R8_i1	R8_ENZ	NADPH	R8_ENZ+NADPH_ci	NADPH
R_R9_0	R9_ENZ	6PG	R9_ENZ+6PG	CPD-2961
R_R9_i0	R9_ENZ	ATP	R9_ENZ+ATP_ci	ATP
R_R9_i1	R9_ENZ	FBP	R9_ENZ+FBP_ci	FRUCTOSE-16-DIPHOSPHATE
R_R9_i3	R9_ENZ	Ru5P	R9_ENZ+Ru5P_ci	RIBULOSE-5P
R_R10_0	R10_ENZ	Ru5P	R10_ENZ+Ru5P	RIBULOSE-5P
R_R11_0	R11_ENZ	Ru5P	R11_ENZ+Ru5P	RIBULOSE-5P
R_R12_0	R12_ENZ	X5P	R12_ENZ+X5P	XYLULOSE-5-PHOSPHATE
R_R13_0	R13_ENZ	GAP	R13_ENZ+GAP	GAP
R_R14_0	R14_ENZ	X5P	R14_ENZ+X5P	XYLULOSE-5-PHOSPHATE
R_R15_0	R15_ENZ	6PG	R15_ENZ+6PG	CPD-2961
R_R16_0	R16_ENZ	KDPG	R16_ENZ+KDPG	2-KETO-3-DEOXY-6-P-GLUCONATE
R_R16_i0	R16_ENZ	6PG	R16_ENZ+6PG_ci	CPD-2961
R_R16_i1	R16_ENZ	GAP	R16_ENZ+GAP_ci	GAP
R_R17_0	R17_ENZ	Pyr	R17_ENZ+Pyr	PYRUVATE
R_R18_0	R18_ENZ	AcCoA	R18_ENZ+AcCoA	ACETYL-COA
R_R19_0	R19_ENZ	Cit	R19_ENZ+Cit	CIT
R_R20_0	R20_ENZ	ICit	R20_ENZ+ICit	THREO-DS-ISO-CITRATE
R_R20_i0	R20_ENZ	Glx	R20_ENZ+Glx_ci	GLYOX
R_R20_i1	R20_ENZ	OAC	R20_ENZ+OAC_ci	OXALACETIC_ACID
R_R20_i2	R20_ENZ	PEP	R20_ENZ+PEP_ci	PHOSPHO-ENOL-PYRUVATE
