Metabolic Control Analysis Result:

A steady state was found. All coefficients are shown.

Unscaled elasticities
Unscaled elasticity matrix
Rows:    Reactions (reduced system)
Columns: Species (reduced system)
	P	Hout	ADP	Q	NAD	PYR	GAP	NADP	F6P	ACCOA	PEP	PGN	MAL	SUC	OAA	ACE	tkt	RU5P	G6P	AMP	ICIT	DAP	eiia	GLCx	ACEx	Pp	PGA3	ei	icd	S7P	ACO	GL6P	SUCCOA	FAD	E4P	PGA2	KDPG	ACEp	FUM	eiicb	X5P	ACP	BPG	GLCp	GLX	R5P	hprP	talC3	CIT	ATP	AKG	FDP	CAMP	NADPH	FADH2	eiiaP	tal	QH2	hpr	icdP	NADH	eiP	eiicbP	tktC2
(PGI)	0	0	0	0	0	0	0	0	-3.66203	0	-0.0127371	-0.0493481	0	0	0	0	0	0	1.16504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PFK)	0	0	0.637297	0	0	0	0	0	1.5915	0	-0.372056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000410294	0	-0.00621237	0	0	0	0	0	0	0	0	0	0	0	0
(FBA)	0	0	0	0	0	0	-35.86	0	0	0	-0.0313873	0	0	0	0	0	0	0	0	0	0	-9.73464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2655	0	0	0	0	0	0	0	0	0	0	0	0
(TPI)	0	0	0	0	0	0	-199.916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.6061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GDH)	8.20711e-05	0	0	0	0.00222528	0	3.16438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00193076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000788083	0	0	0
(PGK)	0	0	16.1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.7335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.171	0	0	0	0	0	0	-3.71964	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GPM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7441	0	0	0	0	0	0	0	0	-23.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ENO)	0	0	0	0	0	0	0	0	0	0	-2.89514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PYK)	0	0	0.437052	0	0	-0.0303712	0	0	0	0	0.394259	0	0	0	0	0	0	0.0345084	0.333878	0	0	0	0	0	0	0	0	0	0	0.674361	0	0.352185	-0.103033	0	0	0	0	0	0	0	0.0782458	0	0	0	0	0.00567965	0	0	0	-0.155291	0	0.118005	0	0	0	0	0	0	0	0	0	0	0	0
(ZWF)	0	0	0	0	0	0	0	0.2613	0	0	0	0	0	0	0	0	0	0	0.0505453	0	0	0	0	0	0	0	0	0	0	0	0	-0.124392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.463025	0	0	0	0	0	0	0	0	0	0
(PGL)	0	0	0	0	0	0	0	0	0	0	0	-7.44792	0	0	0	0	0	0	-0.0184476	0	0	0	0	0	0	0	0	0	0	0	0	316.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GND)	0	0	0	0	0	0	0	0.153286	0	0	0	0.310251	0	0	0	0	0	-0.0100289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0043754	0	-0.0787005	0	-0.0846075	0	0	0	0	0	0	0	0	0	0
(RPE)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.34907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(RPI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0287548	0	0	0	0	0	0	0	0	0	0	-4.21507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(X5P_GAP_TKT)	0	0	0	0	0	0	-2.24452	0	0	0	0	0	0	0	0	0	20.2407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.553232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.68264
(F6P_E4P_TKT)	0	0	0	0	0	0	0	0	-1.10536	0	0	0	0	0	0	0	-20.9205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25202
(S7P_R5P_TKT)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-85.9563	0	0	0	0	0	0	0	0	0	0	0	0	-8.37305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3661
(F6P_GAP_TAL)	0	0	0	0	0	0	6.86583	0	-3.03053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.061	0	0	0	0	0	0	0	0	-285.259	0	0	0	0	0	0	0
(S7P_E4P_TAL)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278093	0	0	0	0	-0.214892	0	0	0	0	0	0	0	0	0	0	0	0	-0.493111	0	0	0	0	0	0	0	0	14.1983	0	0	0	0	0	0	0
(FBP)	-5.15479e-06	0	0	0	0	0	0	0	-0.000187475	0	0	0	0	0	0	0	0	0	0	-0.000342695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000396438	0	0	0	0	0	0	0	0	0	0	0	0
(PPC)	0.0204709	0	0	0	0	0	0	0	0	0.914976	0.0349956	0	-0.144059	-0.000970296	0.0125064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108266	0	0	0	0	0	0	0	0	0	-0.212841	0	0	0.116826	0	0	0	0	0	0	0	0	0	0	0	0
(PCK)	0	0	-0.451244	0	0	0	0	0	0	0	-0.276533	0	0	0	2.38799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
